OLD Site,REF LOC_ID,New Site
ATG6721,T_ATG6721,
ATG6722,T_ATG6722,
ATG6725,T_ATG6725,
ATG6727,T_ATG6727,
ATG7100,T_ATG7100,
ATG7101,T_ATG7101,
ATG7102,T_ATG7102,
ATG7104,T_ATG7104,
ATG7105,T_ATG7105,
ATG7106,T_ATG7106,
ATG7107,T_ATG7107,
ATG7108,T_ATG7108,
ATG7109,T_ATG7109,
ATG7112,T_ATG7112,
ATG7115,T_ATG7115,
ATG7116,T_ATG7116,
ATG7130,T_ATG7130,
ATG7131,T_ATG7131,
ATG7140,T_ATG7140,
ATG7141,T_ATG7141,
ATG7142,T_ATG7142,
ATG7143,T_ATG7143,
ATG7144,T_ATG7144,
ATG7145,T_ATG7145,
ATG7146,T_ATG7146,
ATG7147,T_ATG7147,
ATG7300,T_ATG7300,
ATG7400,T_ATG7400,
ATG7401,D_ATG7401,ATG7401
ATG7701,T_ATG7701,
ATG8001,T_ATG8001,
ATG8501,T_ATG8501,
ATG8502,T_ATG8502,
ATG8503,D_ATG8503,ATG8503
ATG8503DIF,T_ATG8503DIF,
ATG8504,T_ATG8504,
ATG8505,T_ATG8505,
ATG8506,T_ATG8506,
ATG8507,T_ATG8507,
ATG8508,T_ATG8508,
ATG8509,D_ATG8509,ATG8509
ATG8509DIF,T_ATG8509DIF,
ATG8510,T_ATG8510,
ATG8511,D_ATG8511,ATG8511
ATG8511DIF,T_ATG8511DIF,
ATG8512,T_ATG8512,
ATG8513,T_ATG8513,
ATG8514,T_ATG8514,
ATG8515,T_ATG8515,
ATG8516,T_ATG8516,
ATG8517,T_ATG8517,
ATG8518,T_ATG8518,
ATG8519,T_ATG8519,
ATG8520,D_ATG8520,ATG8520
ATG8520DIF,T_ATG8520DIF,
ATG8521,D_ATG8521,ATG8521
ATG8521DIF,T_ATG8521DIF,
ATG8522,T_ATG8522,
ATG8523,T_ATG8523,
ATG8524,T_ATG8524,
ATG8525,T_ATG8525,
ATG8526,T_ATG8526,
ATG8527,T_ATG8527,
ATG8528,T_ATG8528,
ATG8529,T_ATG8529,
ATG8531,T_ATG8531,
ATG8532,T_ATG8532,
ATG8539,T_ATG8539,
ATG8540,T_ATG8540,
ATGC001,T_ATGC001,ATGC001
ATGC004,T_ATGC004,ATGC004
ATGC008,D_ATGC008,ATGC008
ATGC009,D_ATGC009,ATGC009
ATGC010,D_ATGC010,ATGC010
ATGC011,D_ATGC011,ATGC011
ATGCW10,T_ATGCW10,
AYA0001,D_AYA0001,AYTC001
AYA0004,D_AYA0004,
AYA0006,D_AYA0006,AYT0006
AYA0009,D_AYA0009,AYTC007
AYA0013,D_AYA0013,AYTC009
AYA0014,D_AYA0014,AYTC011
AYA0015,D_AYA0015,AYT0015
AYA0016,D_AYA0016,AYTC012
AYA0017,D_AYA0017,AYTC013
AYA0022,D_AYA0022,AYTC017
AYA0023,D_AYA0023,AYTC018
AYA0024,D_AYA0024,
AYA0026,D_AYA0026,AYTC019
AYA0027,D_AYA0027,AYTC020
AYA0028,D_AYA0028,AYTC021
AYA0029,D_AYA0029,AYT0029
AYA0030,D_AYA0030,AYT0030
AYA0032,D_AYA0032,AYTC025
AYA0033,D_AYA0033,AYTC026
AYA0034,D_AYA0034,
AYA0039,D_AYA0039,AYTC032
AYA0040,D_AYA0040,AYTC033
AYA0041,D_AYA0041,AYTC034
AYA0043,D_AYA0043,
AYA0045,D_AYA0045,AYTC037
AYA0046,D_AYA0046,AYTC038
AYA0050,D_AYA0050,AYT0050
AYA0051,D_AYA0051,AYT0051
AYA0054,D_AYA0054,AYT0054
AYA0056,D_AYA0056,AYT0056
AYA0060,D_AYA0060,AYT0060
AYA0062,D_AYA0062,AYT0062
AYA0063,D_AYA0063,
AYA0064,D_AYA0064,AYT0064
AYA0065,D_AYA0065,AYT0065
AYA0067,D_AYA0067,AYT0067
AYA0071,D_AYA0071,AYT0071
AYA0072,D_AYA0072,AYT0072
AYA0074,D_AYA0074,AYT0074
AYA0077,D_AYA0077,AYT0077
AYA0078,D_AYA0078,AYT0078
AYA0079,D_AYA0079,AYT0079
AYA0080,D_AYA0080,AYT0080
AYA0085,D_AYA0085,AYT0085
AYA0086,D_AYA0086,AYT0086
AYA0089,D_AYA0089,AYT0089
AYA0090,D_AYA0090,AYT0090
AYA0091,D_AYA0091,AYT0091
AYA0094,D_AYA0094,AYT0094
AYA0095,D_AYA0095,AYT0095
AYA0097,D_AYA0097,AYT0097
AYA0100,D_AYA0100,AYT0100
AYA0102,D_AYA0102,AYT0102
AYA0103,D_AYA0103,AYT0103
